date,value
1998-09-01,65969
1998-09-02,63083
1998-09-03,61984
1998-09-04,60702
1998-09-08,59449
1998-09-09,55720
1998-09-10,55629
1998-09-11,54821
1998-09-14,52265
1998-09-15,50748
1998-09-16,49979
1998-09-17,49733
1998-09-18,49331
1998-09-21,49180
1998-09-22,48807
1998-09-23,48349
1998-09-24,47975
1998-09-25,47453
1998-09-28,47028
1998-09-29,46710
1998-09-30,45811
1998-10-01,45079
1998-10-02,46792
1998-10-05,46977
1998-10-06,46488
1998-10-07,46388
1998-10-08,46475
1998-10-09,46234
1998-10-13,47078
1998-10-14,45754
1998-10-15,45120
1998-10-16,44871
1998-10-19,44659
1998-10-20,44265
1998-10-21,45646
1998-10-22,45442
1998-10-23,45044
1998-10-26,44617
1998-10-27,44424
1998-10-28,44240
1998-10-29,43669
1998-10-30,42385
1998-11-03,42198
1998-11-04,41830
1998-11-05,41757
1998-11-06,41780
1998-11-09,41915
1998-11-10,42222
1998-11-11,42238
1998-11-12,42235
1998-11-13,41835
1998-11-16,41827
1998-11-17,41814
1998-11-18,41694
1998-11-19,41771
1998-11-20,41735
1998-11-23,41659
1998-11-24,41522
1998-11-25,41510
1998-11-26,41512
1998-11-27,41266
1998-11-30,41189
1998-12-01,41096
1998-12-02,41067
1998-12-03,40943
1998-12-04,40801
1998-12-07,40583
1998-12-08,40513
1998-12-09,40520
1998-12-10,40341
1998-12-11,40228
1998-12-14,40183
1998-12-15,44628
1998-12-16,44014
1998-12-17,43987
1998-12-18,48405
1998-12-21,48365
1998-12-22,47844
1998-12-23,47478
1998-12-24,47634
1998-12-28,47942
1998-12-29,47722
1998-12-30,46955
1998-12-31,44556
1999-01-04,44212
1999-01-05,44410
1999-01-06,44422
1999-01-07,44419
1999-01-08,44435
1999-01-11,44421
1999-01-12,43825
1999-01-13,43706
1999-01-14,41648
1999-01-15,39705
1999-01-18,39745
1999-01-19,36864
1999-01-20,36944
1999-01-21,36820
1999-01-22,36820
1999-01-25,36836
1999-01-26,36171
1999-01-27,36151
1999-01-28,36110
1999-01-29,36136
1999-02-01,36112
1999-02-02,35892
1999-02-03,35918
1999-02-04,35911
1999-02-05,35948
1999-02-08,35931
1999-02-09,35928
1999-02-10,35835
1999-02-11,35831
1999-02-12,35825
1999-02-17,35823
1999-02-18,35787
1999-02-19,35774
1999-02-22,35757
1999-02-23,35738
1999-02-24,35705
1999-02-25,35687
1999-02-26,35457
1999-03-01,35328
1999-03-02,35093
1999-03-03,35028
1999-03-04,34799
1999-03-05,34588
1999-03-08,34572
1999-03-09,34537
1999-03-10,35502
1999-03-11,35423
1999-03-12,35139
1999-03-15,34641
1999-03-16,34355
1999-03-17,34386
1999-03-18,34398
1999-03-19,34317
1999-03-22,34402
1999-03-23,34391
1999-03-24,34198
1999-03-25,34210
