date,value
1995-01-01,0.9725
1996-01-01,1.0394
1997-01-01,1.1164
1998-01-01,1.2087
1999-01-01,1.789
2000-01-01,1.9554
2001-01-01,2.3204
2002-01-01,3.5333
2003-01-01,2.8892
2004-01-01,2.6544
2005-01-01,2.3407
2006-01-01,2.138
2007-01-01,1.7713
2008-01-01,2.337
2009-01-01,1.7412
2010-01-01,1.6662
2011-01-01,1.8758
2012-01-01,2.0435
2013-01-01,2.3426
2014-01-01,2.6562
2015-01-01,3.9048
2016-01-01,3.2591
2017-01-01,3.308
2018-01-01,3.8748
2019-01-01,4.0307
2020-01-01,5.1967
2021-01-01,5.5805
2022-01-01,5.2177
2023-01-01,4.8413
2024-01-01,6.1923
2025-01-01,5.5024
