date,value
1995-01-01,4.22
1996-01-01,2.21
1997-01-01,3.39
1998-01-01,0.34
1999-01-01,0.47
2000-01-01,4.39
2001-01-01,1.39
2002-01-01,3.05
2003-01-01,1.14
2004-01-01,5.76
2005-01-01,3.2
2006-01-01,3.96
2007-01-01,6.07
2008-01-01,5.09
2009-01-01,-0.13
2010-01-01,7.53
2011-01-01,3.97
2012-01-01,1.92
2013-01-01,3.0
2014-01-01,0.5
2015-01-01,-3.55
2016-01-01,-3.28
2017-01-01,1.32
2018-01-01,1.78
2019-01-01,1.22
2020-01-01,-3.28
2021-01-01,4.76
2022-01-01,3.02
2023-01-01,3.24
2024-01-01,3.42
2025-01-01,2.29
